lockL3,lockL4,lockL5,lockL6,station_eu_code
NA,NA,NA,NA,IT0804A
NA,NA,NA,NA,IT0892A
NA,NA,NA,NA,IT0895A
NA,NA,NA,NA,IT0903A
NA,NA,NA,NA,IT1043A
NA,NA,NA,NA,IT1044A
NA,NA,NA,NA,IT1048A
NA,NA,NA,NA,IT1105A
NA,NA,NA,NA,IT1159A
NA,NA,NA,NA,IT1163A
NA,NA,NA,NA,IT1179A
NA,NA,NA,NA,IT1204A
NA,NA,NA,NA,IT1451A
NA,NA,NA,NA,IT1670A
0.5809968806186456,NA,NA,NA,IT1672A
NA,NA,NA,NA,IT1771A
NA,NA,NA,NA,IT1908A
NA,NA,NA,NA,IT1910A
NA,NA,NA,NA,IT1911A
NA,NA,NA,NA,IT1914A
NA,NA,NA,NA,IT1916A
NA,NA,NA,NA,IT1918A
NA,NA,NA,NA,IT1920A
NA,NA,NA,NA,IT1921A
NA,NA,NA,NA,IT1923A
NA,0.2659504676601021,NA,NA,IT1928A
NA,NA,NA,NA,IT1975A
0.39523086338807345,NA,NA,NA,IT2027A
0.23658242228402915,NA,NA,NA,IT2074A
NA,NA,NA,NA,IT2075A
1.0065540247931053,0.4359755022919052,0.35393317956279424,NA,IT2097A
NA,NA,NA,NA,IT2156A
0.4467468147127991,0.3566795813251693,NA,NA,IT2158A
NA,NA,NA,NA,IT2209A
NA,NA,NA,NA,IT0063A
NA,-0.26170299268604413,NA,NA,IT0832A
NA,NA,NA,NA,IT0860A
NA,NA,NA,NA,IT0861A
0.234952683928757,NA,NA,NA,IT0862A
NA,NA,NA,NA,IT0945A
NA,NA,NA,NA,IT0948A
0.22040118627669192,NA,NA,NA,IT0950A
NA,NA,NA,NA,IT1001A
NA,NA,NA,NA,IT1071A
NA,NA,NA,NA,IT1110A
0.5958635549387856,NA,NA,NA,IT1149A
NA,NA,NA,NA,IT1186A
NA,NA,NA,NA,IT1409A
NA,NA,NA,NA,IT1551A
NA,NA,NA,NA,IT1553A
NA,NA,NA,NA,IT1557A
NA,-0.16171928851124362,NA,NA,IT1560A
NA,NA,NA,NA,IT1592A
0.20577902360578393,NA,NA,NA,IT1593A
NA,NA,NA,NA,IT1654A
0.6386474948975305,0.36798093806314935,NA,NA,IT1681A
NA,NA,NA,NA,IT2032A
0.26171287840728774,NA,NA,NA,IT2153A
0.2057514748656415,NA,NA,NA,IT2154A
NA,NA,NA,NA,IT2183A
NA,NA,NA,NA,IT2184A
0.19278659306337653,NA,NA,NA,IT2240A
0.22315782325993117,NA,NA,NA,IT2241A
