"station_eu_code";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT2172A;7.17345699963559;6.58287074380839;51.4584853256209;43.3341872296885;0.719161022116222;0.733921067151659;0.95;0.0198614231692798;0.0700624121927702
IT2173A;7.45321580703164;6.77135605857994;55.5504258661863;45.8512628720672;0.682833937981708;0.714965192950336;0.943342776203966;0.022516819439251;0.0779446711640504
IT2174A;6.17685048254034;5.79244173313686;38.1534818836589;33.5523812317856;0.776015271334742;0.817222586424988;0.98300283286119;0.0130705147147215;0.0452662384533788
IT2175A;6.85479408840709;6.17730512789343;46.9882019944607;38.1590986430985;0.504824225956035;0.650897087558076;0.938375350140056;0.0173044487457008;0.190507685393933
IT2246A;9.82529147988789;9.72013756523162;96.5363526647577;94.481074287027;0.626334088130614;0.599381466996066;0.822535211267606;0.0381546998197028;0.172158741096711
IT2264A;6.04724332085813;6.503954406465;36.5691517816633;42.3014229213755;0.683375826240342;0.669751218607515;0.964187327823691;0.0168332624327731;0.0549177600709904
IT2265A;5.94191717822793;5.30224222736748;35.3063797529201;28.1137726376789;0.685034197153218;0.690601010616622;0.986072423398329;0.0067357872525332;0.0539786939886185
IT1799A;5.47667238733934;4.6893181877013;29.9939404382452;21.9897050655062;0.743893004100165;0.780283474966538;0.957865168539326;0.0281314367924507;0.068357441987614
IT1041A;9.12431115440445;9.0199299217022;83.2530540423894;81.3591357924186;0.700748814464043;0.709309286437611;0.991525423728814;0.00423016686515373;0.046915247492279
IT1495A;8.4681653771381;8.82769169149223;71.7098248545605;77.928140600041;0.740791496018657;0.727181061913502;0.997167138810198;0.0048208291184073;0.0339177820649216
IT1496A;9.60343191100299;8.74688104871134;92.2259044692705;76.5079280803055;0.628323053766071;0.681273650313528;0.971428571428571;0.0224728437898122;0.0548047573436681
IT1497A;7.72221044015987;7.13981848747513;59.6325340821141;50.9770080340917;0.546906040602684;0.632785039883445;0.925287356321839;0.00278138089079965;0.103908830656865
IT1608A;2.73305660607953;2.58290692853263;7.46959841203495;6.67140820146186;0.726062257563936;0.74256439286111;0.988439306358382;0.00574535821234788;0.0751599152785724
IT1609A;2.82500939917374;2.94734591988834;7.98067810542;8.68684797148242;0.719892523910851;0.731433665591981;0.950292397660819;0.00945935646236121;0.0755288744949265
IT1611A;5.21927669302252;4.8567034470594;27.2408491983281;23.5875683726787;0.64411724638449;0.645634328831921;0.974137931034483;0.0173873034057898;0.0539078860341948
IT1613A;7.07635397447168;7.09613829633993;50.0747855720212;50.3551787207822;0.602947492110007;0.631258271175577;0.968390804597701;0.0285147946503129;0.0692382008231869
IT1618A;6.10276800945552;6.09580695798092;37.2437773772337;37.1588624689686;0.641270089344601;0.648524122246668;0.968299711815562;0.0273202864718816;0.0732790448194017
IT1621A;6.95563364686738;6.83352359464725;48.3808394294336;46.6970447186007;0.676443937164078;0.706619614376944;0.994011976047904;0.00345918343454469;0.0305638241906603
IT1624A;6.06855489980397;5.39290157620874;36.8273585719348;29.0833874106747;0.642210243271694;0.704291912169556;0.977272727272727;0.00827807385050919;0.0568938281756454
IT1658A;4.37536434381821;3.96427258977655;19.1438131411557;15.7154571660537;0.624427597976821;0.629587803923506;0.955357142857143;0.0470128588370573;0.0960725931709291
IT1663A;3.10401603971345;3.26031847624487;9.6349155747984;10.6296765665436;0.723487058382912;0.685149923474481;0.982658959537572;0.000477095387713661;0.0668957474052661
IT1679A;3.53187397978741;3.2392993376063;12.4741338090993;10.4930601986166;0.637843370158203;0.755024442245682;0.942528735632184;0.0119180545503897;0.100167763307048
IT1680A;6.44245944133052;5.79789379048265;41.5052836531888;33.6155724057173;0.702496199732473;0.756283493351509;0.980169971671388;0.00607323012028537;0.0489203261221519
IT1701A;5.6275591590191;5.10820119569853;31.6694220882597;26.0937194557359;0.63953038879174;0.695506925629764;0.955089820359281;0.00597378363798352;0.0792308095881108
IT2018A;3.72457152333382;3.83317229515929;13.8724330324292;14.6932098443767;0.848657387042646;0.830117144916782;1;0.00125066177731272;0.0361538048776759
IT2021A;4.21352861649739;3.52035790956816;17.7538234020424;12.3929198114591;0.751594225052541;0.836061123355296;0.991477272727273;0.00335473445207094;0.0534702217285486
IT2044A;6.83510662643032;6.67592136230953;46.7186825946717;44.5679260357407;0.645752051964268;0.694585928725465;0.982089552238806;0.0221384987685897;0.0668393103356691
IT2137A;4.56406191885832;4.2668837824075;20.8306611991726;18.2062972125721;0.63070770766616;0.642193176133592;0.982857142857143;0.0308180220508871;0.0697455903706651
IT2143A;3.69836621739206;3.62849237687533;13.6779126779468;13.1659569290424;0.743017824215098;0.744283953551408;0.98005698005698;0.0132511179793584;0.051794954072049
IT2144A;4.54753077628075;4.8658394977303;20.6800361612206;23.6763940176723;0.752769754777426;0.718210500041897;0.994459833795014;0.0075745443638907;0.0477137741745325
IT2145A;4.81492388266908;4.48105730409933;23.1834919958971;20.079874562622;0.666195875715264;0.689419293143064;0.994444444444444;0.0139124038731542;0.0487680606658314
IT2146A;9.15027142708669;8.11347933743445;83.7274671893591;65.8285469589758;0.50663801494578;0.581661394420117;0.960893854748603;0.00778296572963466;0.124807654053823
IT2148A;2.80496384362622;2.72979854956395;7.8678221640504;7.45180012120146;0.812435395726193;0.80599043233308;0.997150997150997;0.0114326098231881;0.0331717327321137
IT1674A;2.33579143613647;2.35506522210975;5.45592163312846;5.54633220039084;0.570590329366406;0.576686505847173;0.915942028985507;0.0031633360672043;0.10023901058585
IT1740A;5.45809439588283;4.74334895994913;29.7907944343676;22.4993593558505;0.495412597628692;0.575396412063195;0.94413407821229;0.0174846873898404;0.117361826266505
IT1742A;3.67396542154108;3.4762341846813;13.4980219186795;12.0842041067468;0.626944435047016;0.650673698388469;0.927745664739884;0.00280144825055937;0.117805612380068
IT2204A;1.67260451769396;1.6585236268171;2.79760587261023;2.75070062071055;0.545158516628237;0.556662493384222;0.980392156862745;0.0227970448367016;0.0701038742301348
IT2205A;1.19432821541201;1.25977387462555;1.42641988612924;1.58703021518906;0.433717945947992;0.369830742677483;0.976878612716763;0.0111354934032377;0.0956022556761096
IT1938A;6.67875870228752;6.49188702585723;44.6058178033813;42.1445971564934;0.592580322893597;0.666564071431542;0.931428571428571;0.0220480398820782;0.0835584029300499
IT1989A;5.15406364573519;5.00147218746405;26.5643720642891;25.0147240419764;0.503940783039842;0.566776133991051;0.923728813559322;0.00826251682437572;0.0949841047287675
IT2028A;4.9778053461552;4.40418070867524;24.7785460642113;19.3968077146672;0.623818240423822;0.711119237934688;0.95702005730659;0.00508295917150263;0.0742165633286456
IT2031A;7.64981246669938;8.87770895214663;58.5196307756693;78.8137162390244;0.62718062702265;0.571643337787638;0.957386363636364;0.0160031158653129;0.0850022740716622
IT2078A;1.46452796686901;1.47177083801986;2.14484216574148;2.16610939964567;0.389462085872041;0.464389012472273;0.759668508287293;0.023422611095218;0.221769317774866
IT2087A;5.97031115583233;5.28767829381594;35.644615297456;27.9595417388923;0.441695401114836;0.499199751066477;0.872521246458923;0.0377807997927263;0.21891782594257
IT2091A;7.92569738013555;7.59813935958565;62.8166789614876;57.7317217276847;0.707273927897355;0.762760417899889;0.949438202247191;0.0202001787842547;0.075144136584616
IT2092A;5.0327563142674;4.94666970875934;25.3286361187984;24.4695412075572;0.684213188324469;0.728318499935903;0.975;0.0153634518985802;0.0539856922613803
IT2110A;5.21204505600627;5.02876192791004;27.1654136658394;25.2884465275975;0.590973004880346;0.613541453529964;0.975069252077562;0.00772573823623022;0.0652387910054718
IT2111A;6.03168128061747;5.06661291187457;36.3811790709512;25.6705663987741;0.743570044700144;0.800040990788853;0.926027397260274;0.000529425194363438;0.0873388833031843
IT0611A;2.62708700537787;2.5153824025763;6.90158613382526;6.3271486311905;0.512348319445656;0.536538884164557;0.909348441926346;0.0139247786267104;0.130897798748198
IT0614A;3.46901169292128;3.4251392707132;12.0340421256245;11.7315790237818;0.644412032334818;0.691048422694874;0.953079178885631;0.0118367026973716;0.0730452264423774
IT0618A;3.59818185557879;3.2724858223618;12.9469126658164;10.709163457559;0.490993543735554;0.538515104535065;0.896142433234421;0.0447791702616088;0.121389580540067
IT0620A;8.39824689414521;7.6786958990043;70.5305508950197;58.9623707093855;0.64137837219359;0.689568450221214;0.923943661971831;0.0132782204460583;0.0805958977817118
IT1346A;6.62553940281844;6.07055482643016;43.8977723782997;36.8516359006946;0.668004240245152;0.677914214682755;0.879551820728291;0.0212762572184196;0.120342002288837
