"data","variable","value"
2020-03-14,"IT0825A",25
2020-03-15,"IT0825A",14
2020-03-16,"IT0825A",20
2020-03-17,"IT0825A",30
2020-03-18,"IT0825A",34
2020-03-19,"IT0825A",34
2020-03-20,"IT0825A",27
2020-03-21,"IT0825A",32
2020-03-22,"IT0825A",33
2020-03-23,"IT0825A",14
2020-03-24,"IT0825A",14
2020-03-25,"IT0825A",12
2020-03-26,"IT0825A",10
2020-03-27,"IT0825A",7
2020-03-28,"IT0825A",25
2020-03-29,"IT0825A",49
2020-03-30,"IT0825A",44
2020-03-31,"IT0825A",22
2020-04-01,"IT0825A",14
2020-04-02,"IT0825A",20
2020-04-03,"IT0825A",26
2020-04-04,"IT0825A",18
2020-04-05,"IT0825A",21
2020-04-06,"IT0825A",24
2020-04-07,"IT0825A",27
2020-04-08,"IT0825A",34
2020-04-09,"IT0825A",25
2020-04-10,"IT0825A",24
2020-04-11,"IT0825A",22
2020-04-12,"IT0825A",24
2020-04-13,"IT0825A",21
2020-04-14,"IT0825A",19
2020-04-15,"IT0825A",11
2020-04-16,"IT0825A",16
2020-04-17,"IT0825A",19
2020-04-18,"IT0825A",16
2020-04-19,"IT0825A",20
2020-04-20,"IT0825A",16
2020-04-21,"IT0825A",10
2020-04-22,"IT0825A",9
2020-04-23,"IT0825A",10
2020-04-24,"IT0825A",20
2020-04-25,"IT0825A",15
2020-04-26,"IT0825A",9
2020-04-27,"IT0825A",16
2020-04-28,"IT0825A",23
2020-04-29,"IT0825A",14
2020-04-30,"IT0825A",13
2020-05-01,"IT0825A",15
2020-05-02,"IT0825A",14
2020-05-03,"IT0825A",15
2020-05-04,"IT0825A",15
2020-05-05,"IT0825A",19
2020-05-06,"IT0825A",19
2020-05-07,"IT0825A",20
2020-05-08,"IT0825A",19
2020-05-09,"IT0825A",15
2020-05-10,"IT0825A",13
2020-05-11,"IT0825A",20
2020-05-12,"IT0825A",17
2020-05-13,"IT0825A",28
2020-05-14,"IT0825A",44
2020-05-15,"IT0825A",20
2020-05-16,"IT0825A",21
2020-05-17,"IT0825A",40
2020-05-18,"IT0825A",42
2020-05-19,"IT0825A",21
2020-05-20,"IT0825A",15
2020-05-21,"IT0825A",16
2020-05-22,"IT0825A",17
2020-05-23,"IT0825A",18
