"data","variable","value"
2020-03-05,"IT0825A",1.59166666666667
2020-03-06,"IT0825A",1.54166666666667
2020-03-07,"IT0825A",1.47083333333333
2020-03-08,"IT0825A",1.05
2020-03-09,"IT0825A",1.42916666666667
2020-03-10,"IT0825A",1.64166666666667
2020-03-11,"IT0825A",1.7875
2020-03-12,"IT0825A",1.40833333333333
2020-03-13,"IT0825A",1.21666666666667
2020-03-14,"IT0825A",1.14166666666667
2020-03-15,"IT0825A",0.795833333333333
2020-03-16,"IT0825A",1.02916666666667
2020-03-17,"IT0825A",1.35
2020-03-18,"IT0825A",1.54583333333333
2020-03-19,"IT0825A",-582.2125
2020-03-20,"IT0825A",-999
2020-03-21,"IT0825A",-749.2
2020-03-22,"IT0825A",-999
2020-03-23,"IT0825A",-664.983333333333
2020-03-24,"IT0825A",-41.5541666666667
2020-03-25,"IT0825A",-41.5208333333333
2020-03-26,"IT0825A",-41.625
2020-03-27,"IT0825A",-41.5125
2020-03-28,"IT0825A",-41.625
2020-03-29,"IT0825A",-41.2875
2020-03-30,"IT0825A",0.929166666666667
2020-03-31,"IT0825A",0.883333333333333
2020-04-01,"IT0825A",0.4875
2020-04-02,"IT0825A",0.7
2020-04-03,"IT0825A",0.991666666666667
2020-04-04,"IT0825A",0.633333333333333
2020-04-05,"IT0825A",0.504166666666667
2020-04-06,"IT0825A",0.854166666666667
2020-04-07,"IT0825A",1.05833333333333
2020-04-08,"IT0825A",1.03333333333333
2020-04-09,"IT0825A",0.854166666666667
2020-04-10,"IT0825A",0.9875
2020-04-11,"IT0825A",0.829166666666667
2020-04-12,"IT0825A",0.595833333333333
2020-04-13,"IT0825A",0.458333333333333
2020-04-14,"IT0825A",0.675
2020-04-15,"IT0825A",0.404166666666667
2020-04-16,"IT0825A",0.658333333333333
2020-04-17,"IT0825A",-82.9541666666667
2020-04-18,"IT0825A",-41.3541666666667
2020-04-19,"IT0825A",-40.825
2020-04-20,"IT0825A",-624.141666666667
2020-04-21,"IT0825A",-40.7458333333333
2020-04-22,"IT0825A",-40.9041666666667
2020-04-23,"IT0825A",-40.9208333333333
2020-04-24,"IT0825A",-40.9416666666667
2020-04-25,"IT0825A",-41.1458333333333
2020-04-26,"IT0825A",-41.1833333333333
2020-04-27,"IT0825A",-40.9958333333333
2020-04-28,"IT0825A",-40.8791666666667
2020-04-29,"IT0825A",-41.1166666666667
2020-04-30,"IT0825A",-41.0791666666667
2020-05-01,"IT0825A",-41.4125
2020-05-02,"IT0825A",-41.25
2020-05-03,"IT0825A",-41.3416666666667
2020-05-04,"IT0825A",-40.85
2020-05-05,"IT0825A",-40.75
2020-05-06,"IT0825A",-40.7583333333333
2020-05-07,"IT0825A",-40.9916666666667
2020-05-08,"IT0825A",-40.7375
2020-05-09,"IT0825A",-40.9125
2020-05-10,"IT0825A",-41.0708333333333
2020-05-11,"IT0825A",-40.7458333333333
2020-05-12,"IT0825A",-40.75
2020-05-13,"IT0825A",-40.95
2020-05-14,"IT0825A",-40.7416666666667
2020-05-15,"IT0825A",-40.7791666666667
2020-05-16,"IT0825A",-40.9625
2020-05-17,"IT0825A",-41.0083333333333
2020-05-18,"IT0825A",-415.520833333333
2020-05-19,"IT0825A",-40.9291666666667
2020-05-20,"IT0825A",0.583333333333333
2020-05-21,"IT0825A",0.483333333333333
2020-05-22,"IT0825A",0.75
2020-05-23,"IT0825A",-874.125
2020-05-24,"IT0825A",-999
2020-05-25,"IT0825A",-457.779166666667
2020-05-26,"IT0825A",-124.65
2020-05-27,"IT0825A",-290.766666666667
2020-05-28,"IT0825A",0.775
2020-05-29,"IT0825A",0.591666666666667
2020-05-30,"IT0825A",0.5375
2020-05-31,"IT0825A",0.479166666666667
2020-06-01,"IT0825A",0.7125
2020-06-02,"IT0825A",0.570833333333333
2020-06-03,"IT0825A",0.7375
2020-06-04,"IT0825A",0.491666666666667
2020-06-05,"IT0825A",0.766666666666667
2020-06-06,"IT0825A",0.75
2020-06-07,"IT0825A",0.429166666666667
2020-06-08,"IT0825A",0.633333333333333
2020-06-09,"IT0825A",-665.9125
2020-06-10,"IT0825A",-874.079166666667
2020-06-11,"IT0825A",-124.254166666667
2020-06-12,"IT0825A",-40.8291666666667
2020-06-13,"IT0825A",-40.9625
2020-06-14,"IT0825A",-41.1125
2020-06-15,"IT0825A",-40.925
2020-06-16,"IT0825A",-40.8625
2020-06-17,"IT0825A",-40.775
2020-06-18,"IT0825A",-40.8125
2020-06-19,"IT0825A",-40.5541666666667
2020-06-20,"IT0825A",-41.05
2020-06-21,"IT0825A",-41.1125
2020-06-22,"IT0825A",-40.95
2020-06-23,"IT0825A",-40.9083333333333
2020-06-24,"IT0825A",-40.725
2020-06-25,"IT0825A",-40.6625
2020-06-26,"IT0825A",-40.5875
2020-06-27,"IT0825A",-40.975
2020-06-28,"IT0825A",-82.6833333333333
