"data","station_eu_code","value"
2020-03-24,"IT0825A",-71.0416666666667
2020-03-25,"IT0825A",-27.2916666666667
2020-03-26,"IT0825A",-15.7916666666667
2020-03-27,"IT0825A",-15.8333333333333
2020-03-28,"IT0825A",-21.9583333333333
2020-03-29,"IT0825A",-28.4583333333333
2020-03-30,"IT0825A",-21.75
2020-03-31,"IT0825A",-27.4166666666667
2020-04-01,"IT0825A",-71.75
2020-04-02,"IT0825A",-19.375
2020-04-03,"IT0825A",-18.6666666666667
2020-04-04,"IT0825A",-27.2083333333333
2020-04-05,"IT0825A",-29.625
2020-04-06,"IT0825A",-16.4583333333333
2020-04-07,"IT0825A",-17.4166666666667
2020-04-08,"IT0825A",-18.25
2020-04-09,"IT0825A",-20.1666666666667
2020-04-10,"IT0825A",-15.625
2020-04-11,"IT0825A",-21
2020-04-12,"IT0825A",-30
2020-04-13,"IT0825A",-32.0416666666667
2020-04-14,"IT0825A",-145.916666666667
2020-04-15,"IT0825A",-27.25
2020-04-16,"IT0825A",-20
2020-04-17,"IT0825A",-107.166666666667
2020-04-18,"IT0825A",-71.2916666666667
2020-04-19,"IT0825A",-33.5
2020-04-20,"IT0825A",-107.791666666667
2020-04-21,"IT0825A",-13.8333333333333
2020-04-22,"IT0825A",-19.4583333333333
2020-04-23,"IT0825A",-17.1666666666667
2020-04-24,"IT0825A",-19.4166666666667
2020-04-25,"IT0825A",-28.5833333333333
2020-04-26,"IT0825A",-30.5833333333333
2020-04-27,"IT0825A",-21.0416666666667
2020-04-28,"IT0825A",-22.9166666666667
2020-04-29,"IT0825A",-19.4583333333333
2020-04-30,"IT0825A",-21.4166666666667
2020-05-01,"IT0825A",-32.5
2020-05-02,"IT0825A",-25.6666666666667
2020-05-03,"IT0825A",-32.4166666666667
2020-05-04,"IT0825A",-9.91666666666667
2020-05-05,"IT0825A",-6.91666666666667
2020-05-06,"IT0825A",-12.7083333333333
2020-05-07,"IT0825A",-13.375
2020-05-08,"IT0825A",-7.04166666666667
2020-05-09,"IT0825A",-11.4166666666667
2020-05-10,"IT0825A",-21.4583333333333
2020-05-11,"IT0825A",-9.75
2020-05-12,"IT0825A",-12
2020-05-13,"IT0825A",-16.5
2020-05-14,"IT0825A",-11.7083333333333
2020-05-15,"IT0825A",-9.20833333333333
2020-05-16,"IT0825A",-17.0416666666667
2020-05-17,"IT0825A",-20.5416666666667
2020-05-18,"IT0825A",-222.625
2020-05-19,"IT0825A",-59.0416666666667
2020-05-20,"IT0825A",-19.5
2020-05-21,"IT0825A",-18.5833333333333
2020-05-22,"IT0825A",-5.70833333333333
2020-05-23,"IT0825A",-5.95833333333333
2020-05-24,"IT0825A",-17.7916666666667
2020-05-25,"IT0825A",-10.5
2020-05-26,"IT0825A",-9.45833333333333
2020-05-27,"IT0825A",-16.0833333333333
2020-05-28,"IT0825A",-5.41666666666667
2020-05-29,"IT0825A",0.416666666666667
2020-05-30,"IT0825A",-9.79166666666667
2020-05-31,"IT0825A",-19.25
2020-06-01,"IT0825A",-7.75
2020-06-02,"IT0825A",-14.5
2020-06-03,"IT0825A",-9.45833333333333
2020-06-04,"IT0825A",-19.4166666666667
2020-06-05,"IT0825A",-7.16666666666667
2020-06-06,"IT0825A",-11.2083333333333
2020-06-07,"IT0825A",-24.7083333333333
2020-06-08,"IT0825A",-17.2083333333333
2020-06-09,"IT0825A",-655.375
2020-06-10,"IT0825A",-912.416666666667
2020-06-11,"IT0825A",-3.83333333333333
2020-06-12,"IT0825A",-89.375
2020-06-13,"IT0825A",-567.791666666667
2020-06-14,"IT0825A",-999
2020-06-15,"IT0825A",-138.958333333333
2020-06-16,"IT0825A",-8.20833333333333
2020-06-17,"IT0825A",-6.25
2020-06-18,"IT0825A",-10.5416666666667
2020-06-19,"IT0825A",-0.333333333333333
2020-06-20,"IT0825A",-180.708333333333
2020-06-21,"IT0825A",-55.375
2020-06-22,"IT0825A",-6.66666666666667
2020-06-23,"IT0825A",-218.375
2020-06-24,"IT0825A",-126.583333333333
2020-06-25,"IT0825A",-36.5416666666667
2020-06-26,"IT0825A",-82.2083333333333
2020-06-27,"IT0825A",-46.0833333333333
2020-06-28,"IT0825A",-97.5833333333333
2020-06-29,"IT0825A",-141.416666666667
2020-06-30,"IT0825A",-10.9583333333333
2020-01-01,"IT0828A",38.4583333333333
2020-01-02,"IT0828A",54.9166666666667
2020-01-03,"IT0828A",38.25
2020-01-04,"IT0828A",27.375
2020-01-05,"IT0828A",15.7916666666667
2020-01-06,"IT0828A",5.25
2020-01-07,"IT0828A",38.6666666666667
2020-01-08,"IT0828A",44.6666666666667
2020-01-09,"IT0828A",43.5833333333333
2020-01-10,"IT0828A",42.7083333333333
2020-01-11,"IT0828A",35.5
2020-01-12,"IT0828A",31.4583333333333
2020-01-13,"IT0828A",38.0833333333333
2020-01-14,"IT0828A",32.75
2020-01-15,"IT0828A",38.5833333333333
2020-01-16,"IT0828A",32.9166666666667
2020-01-17,"IT0828A",27.625
2020-01-18,"IT0828A",21.9583333333333
2020-01-19,"IT0828A",7.95833333333333
2020-01-20,"IT0828A",19.1666666666667
2020-01-21,"IT0828A",19.2083333333333
2020-01-22,"IT0828A",22
2020-01-23,"IT0828A",31.25
2020-01-24,"IT0828A",30.8333333333333
2020-01-25,"IT0828A",23.25
2020-01-26,"IT0828A",13.9166666666667
2020-01-27,"IT0828A",14.5833333333333
2020-01-28,"IT0828A",8.5
2020-01-29,"IT0828A",23.875
2020-01-30,"IT0828A",20
2020-01-31,"IT0828A",29.5
2020-02-01,"IT0828A",17.5416666666667
2020-02-02,"IT0828A",7.16666666666667
2020-02-03,"IT0828A",14.0416666666667
2020-02-04,"IT0828A",2.16666666666667
2020-02-05,"IT0828A",-51.9583333333333
2020-02-06,"IT0828A",-0.708333333333333
2020-02-07,"IT0828A",22.7083333333333
2020-02-08,"IT0828A",24.7083333333333
2020-02-09,"IT0828A",9.66666666666667
2020-02-10,"IT0828A",7.70833333333333
2020-02-11,"IT0828A",6.5
2020-02-12,"IT0828A",15.5416666666667
2020-02-13,"IT0828A",13.125
2020-02-14,"IT0828A",5.91666666666667
2020-02-15,"IT0828A",16.3333333333333
2020-02-16,"IT0828A",11.0833333333333
2020-02-17,"IT0828A",23
2020-02-18,"IT0828A",20.625
2020-02-19,"IT0828A",19.1666666666667
2020-02-20,"IT0828A",17.4583333333333
2020-02-21,"IT0828A",18.9166666666667
2020-02-22,"IT0828A",13.6666666666667
2020-02-23,"IT0828A",3.83333333333333
2020-02-24,"IT0828A",5.29166666666667
2020-02-25,"IT0828A",-216.583333333333
2020-02-26,"IT0828A",-14.2083333333333
2020-02-27,"IT0828A",0.0416666666666667
2020-02-28,"IT0828A",0.625
2020-02-29,"IT0828A",7.625
2020-03-01,"IT0828A",-15.0416666666667
2020-03-02,"IT0828A",-10.25
2020-03-03,"IT0828A",-11.375
2020-03-04,"IT0828A",-2
2020-03-05,"IT0828A",-4.75
2020-03-06,"IT0828A",-14.3333333333333
2020-03-07,"IT0828A",-6.41666666666667
2020-03-08,"IT0828A",-13.8333333333333
2020-03-09,"IT0828A",-1.45833333333333
2020-03-10,"IT0828A",1.20833333333333
2020-03-11,"IT0828A",-3.79166666666667
2020-03-12,"IT0828A",-13.875
2020-03-13,"IT0828A",-6.625
2020-03-14,"IT0828A",-360
2020-03-15,"IT0828A",-24.5833333333333
2020-03-16,"IT0828A",-12.375
2020-03-17,"IT0828A",-9.75
2020-03-18,"IT0828A",-3.91666666666667
2020-03-19,"IT0828A",-5.04166666666667
2020-03-20,"IT0828A",-7.16666666666667
2020-03-21,"IT0828A",-7.75
2020-03-22,"IT0828A",-20.5416666666667
2020-03-23,"IT0828A",-31.375
2020-03-24,"IT0828A",-29.4166666666667
2020-03-25,"IT0828A",-24.2916666666667
2020-03-26,"IT0828A",-8.91666666666667
