giorno;Nome Stazione;Preneste;Francia;Magna Grecia;Cinecittà;Colleferro Oberdan;Colleferro Europa;Allumiere;Civitavecchia;Guidonia;Ada;Guido;Cavaliere;Ciampino;Fermi;Bufalotta;Cipro;Tiburtina;Arenula;Malagrotta;Civitavecchia Porto;Civitavecchia Villa Albani;Civitavecchia Via Morandi;Civitavecchia Via Roma;Fiumicino Porto;Fiumicino Villa Guglielmi;Aurelia;S.Agostino;Fiumaretta;Faro;CampoOro;S.Gordiano;Allumiere-AldoMoro;Tolfa;S.Marinella;Tarquinia;MonteRomano;Ceccano;Ferentino;Anagni;Alatri;Fontechiari;Cassino;Frosinone Scalo;Mazzini;LT-Tasso;Aprilia 2;Latina Scalo;Gaeta Porto;LT-De Chirico;Viterbo;Acquapendente;Civita Castellana Petrarca;Rieti 1;Leonessa
;Cod. Stazione;1205875;1205802;1205810;1205804;1205806;1205807;1205801;1205805;1205808;1205820;1205803;1205817;1205886;1205882;1205884;1205883;1205885;1205887;1205888;1205823;1205890;1205824;1205889;1205891;1205892;1205893;1205894;1205895;1205896;1205897;1205898;1205899;1205821;1205822;1205606;1205607;1206003;1206004;1206002;1206001;1206005;1205878;1205874;1206008;1205906;1205902;1205873;1205907;1205905;1205602;1205604;1205601;1205702;1205701
;Cod. EU Stazione;IT1176A;IT0825A;IT0828A;IT0956A;IT0888A;IT0889A;IT0884A;IT0885A;IT0887A;IT0953A;IT0952A;IT0957A;IT1841A;IT1837A;IT1835A;IT1836A;IT1834A;IT1906A;IT2012A;IT2264A;IT2172A;IT2265A;IT2171A;IT2246A;IT2247A;IT2248A;IT2249A;IT2250A;IT2251A;IT2252A;IT2253A;IT2254A;IT2255A;IT2258A;IT2256A;IT2257A;IT0872A;IT0871A;IT0870A;IT0991A;IT0992A;IT1183A;IT1200A;IT2013A;IT0869A;IT0865A;IT1184A;IT2173A;IT0868A;IT0863A;IT2023A;IT0864A;IT0867A;IT0989A
14/02/2020;;-999;10;-999;9;-999;23;-999;-999;8;7;7;10;-999;-999;-999;8;-999;8;9;-999;-999;-999;-999;-999;8;-999;7;10;10;7;-999;7;-999;-999;-999;-999;-999;27;-999;-999;7;24;-999;19;-999;-999;9;-999;-999;9;9;-999;14;4
15/02/2020;;-999;16;-999;18;-999;32;-999;-999;16;13;10;18;-999;-999;-999;17;-999;18;17;-999;-999;-999;-999;-999;22;-999;6;9;10;5;-999;16;-999;-999;-999;-999;-999;22;-999;-999;9;21;-999;16;-999;-999;11;-999;-999;14;13;-999;18;11
16/02/2020;;-999;25;-999;31;-999;42;-999;-999;25;24;20;23;-999;-999;-999;27;-999;27;27;-999;-999;-999;-999;-999;29;-999;10;12;21;11;-999;17;-999;-999;-999;-999;-999;36;-999;-999;15;37;-999;27;-999;-999;17;-999;-999;13;11;-999;16;9
17/02/2020;;-999;21;-999;34;-999;38;-999;-999;26;19;14;25;-999;-999;-999;24;-999;23;24;-999;-999;-999;-999;-999;27;-999;11;14;13;15;-999;9;-999;-999;-999;-999;-999;40;-999;-999;21;47;-999;39;-999;-999;20;-999;-999;14;13;-999;16;11
18/02/2020;;-999;18;-999;27;-999;28;-999;-999;15;19;15;18;-999;-999;-999;18;-999;21;24;-999;-999;-999;-999;-999;23;-999;8;9;8;9;-999;12;-999;-999;-999;-999;-999;32;-999;-999;19;44;-999;26;-999;-999;18;-999;-999;11;14;-999;17;12
19/02/2020;;-999;15;-999;21;-999;18;-999;-999;18;18;12;21;-999;-999;-999;19;-999;-999;20;-999;-999;-999;-999;-999;17;-999;8;10;8;9;-999;6;-999;-999;-999;-999;-999;29;-999;-999;16;36;-999;27;-999;-999;15;-999;-999;13;13;-999;17;10
20/02/2020;;-999;12;-999;18;-999;19;-999;-999;15;10;12;17;-999;-999;-999;13;-999;13;13;-999;-999;-999;-999;-999;13;-999;6;8;9;7;-999;9;-999;-999;-999;-999;-999;22;-999;-999;9;16;-999;14;-999;-999;17;-999;-999;9;10;-999;10;9
21/02/2020;;-999;15;-999;26;-999;28;-999;-999;17;14;15;18;-999;-999;-999;16;-999;18;16;-999;-999;-999;-999;-999;17;-999;8;9;14;8;-999;18;-999;-999;-999;-999;-999;24;-999;-999;13;37;-999;21;-999;-999;18;-999;-999;12;12;-999;14;7
22/02/2020;;-999;24;-999;23;-999;28;-999;-999;21;20;19;22;-999;-999;-999;23;-999;21;21;-999;-999;-999;-999;-999;17;-999;11;12;15;11;-999;10;-999;-999;-999;-999;-999;27;-999;-999;17;41;-999;23;-999;-999;17;-999;-999;17;17;-999;28;12
23/02/2020;;-999;25;-999;26;-999;29;-999;-999;18;23;21;25;-999;-999;-999;25;-999;21;29;-999;-999;-999;-999;-999;21;-999;11;11;12;11;-999;16;-999;-999;-999;-999;-999;28;-999;-999;17;43;-999;26;-999;-999;16;-999;-999;15;19;-999;19;11
24/02/2020;;-999;13;-999;17;-999;27;-999;-999;10;15;15;17;-999;-999;-999;18;-999;15;17;-999;-999;-999;-999;-999;12;-999;10;8;6;10;-999;9;-999;-999;-999;-999;-999;25;-999;-999;15;29;-999;16;-999;-999;12;-999;-999;18;14;-999;15;11
25/02/2020;;-999;6;-999;15;-999;29;-999;-999;13;9;9;20;-999;-999;-999;3;-999;9;10;-999;-999;-999;-999;-999;8;-999;9;9;1;8;-999;5;-999;-999;-999;-999;-999;31;-999;-999;14;27;-999;24;-999;-999;11;-999;-999;10;8;-999;13;9
26/02/2020;;-999;2;-999;8;-999;17;-999;-999;10;6;11;9;-999;-999;-999;-999;-999;7;8;-999;-999;-999;-999;-999;9;-999;9;9;-999;8;-999;3;-999;-999;-999;-999;-999;15;-999;-999;6;14;-999;-999;-999;-999;7;-999;-999;9;8;-999;3;5
27/02/2020;;-999;6;-999;8;-999;9;-999;-999;7;5;4;10;-999;-999;-999;2;-999;8;6;-999;-999;-999;-999;-999;5;-999;4;5;-999;5;-999;1;-999;-999;-999;-999;-999;12;-999;-999;4;9;-999;8;-999;-999;8;-999;-999;8;4;-999;-999;3
